"ysovarid","sname","ra","de","hmjd","fname","mag1","emag1","useful","kind","note"
"-1000","test_1000","124.14792962717081","-1.7047326086653811","55300.5","IRAC1","12.0","0.10000000000000001","1","0",""
"-1000","test_1000","124.14792962717081","-1.7047326086653811","55301.5","IRAC1","12.0","0.10000000000000001","1","0",""
"-1000","test_1000","124.14792962717081","-1.7047326086653811","55302.5","IRAC1","12.0","0.10000000000000001","1","0",""
"-1000","test_1000","124.14792962717081","-1.7047326086653811","55303.5","IRAC1","12.0","0.10000000000000001","1","0",""
"-1000","test_1000","124.14792962717081","-1.7047326086653811","55304.5","IRAC1","12.0","0.10000000000000001","1","0",""
"-1001","test_1001","256.45210604543922","-37.273746456194793","55300.5","IRAC2","12.0","0.10000000000000001","1","0",""
"-1001","test_1001","256.45210604543922","-37.273746456194793","55301.5","IRAC2","12.0","0.10000000000000001","1","0",""
"-1001","test_1001","256.45210604543922","-37.273746456194793","55302.5","IRAC2","12.0","0.10000000000000001","1","0",""
"-1001","test_1001","256.45210604543922","-37.273746456194793","55303.5","IRAC2","12.0","0.10000000000000001","1","0",""
"-1001","test_1001","256.45210604543922","-37.273746456194793","55304.5","IRAC2","12.0","0.10000000000000001","1","0",""
"-1002","test_1002","333.1560002536541","3.8461781572644753","55300.5","IRAC1","13.0","0.10000000000000001","1","0",""
"-1002","test_1002","333.1560002536541","3.8461781572644753","55301.5","IRAC1","12.5","0.10000000000000001","1","0",""
"-1002","test_1002","333.1560002536541","3.8461781572644753","55302.5","IRAC1","12.0","0.10000000000000001","1","0",""
"-1002","test_1002","333.1560002536541","3.8461781572644753","55303.5","IRAC1","11.5","0.10000000000000001","1","0",""
"-1002","test_1002","333.1560002536541","3.8461781572644753","55304.5","IRAC1","11.0","0.10000000000000001","1","0",""
"-1003","test_1003","93.225571309532469","12.888497063628961","55300.5","IRAC2","13.0","0.10000000000000001","1","0",""
"-1003","test_1003","93.225571309532469","12.888497063628961","55301.5","IRAC2","12.5","0.10000000000000001","1","0",""
"-1003","test_1003","93.225571309532469","12.888497063628961","55302.5","IRAC2","12.0","0.10000000000000001","1","0",""
"-1003","test_1003","93.225571309532469","12.888497063628961","55303.5","IRAC2","11.5","0.10000000000000001","1","0",""
"-1003","test_1003","93.225571309532469","12.888497063628961","55304.5","IRAC2","11.0","0.10000000000000001","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55500.327122554765","IRAC1","0.63276893904328102","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55501.680394506213","IRAC1","-0.36889265650744058","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55502.902913272083","IRAC1","-0.20193964827008787","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55503.743860832503","IRAC1","0.99991733908409453","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55504.096323469479","IRAC1","0.7482751211386145","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55505.467636476315","IRAC1","-0.89790178892733941","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55506.832876783199","IRAC1","0.98497334453233509","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55507.81217494241","IRAC1","-0.60822117378600593","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55508.583893863586","IRAC1","-0.76528930087643432","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55509.491560369577","IRAC1","0.85705261751331818","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55510.104939821511","IRAC1","0.73618239305012245","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55511.165247637415","IRAC1","-0.98428732069598557","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55512.541174010723","IRAC1","0.9058712402936423","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55513.249694642509","IRAC1","0.50055375494756638","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55514.431676692257","IRAC1","-0.92847802886564035","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55515.941641864156","IRAC1","0.92052514923017037","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55516.42145297191","IRAC1","0.16376749735105664","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55517.607134799073","IRAC1","-0.73306335086062357","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55518.967467310817","IRAC1","0.8980576936823752","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55519.242996026078","IRAC1","0.51264955326823503","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55520.722251184023","IRAC1","-0.54945829850000227","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55521.621369113709","IRAC1","0.96392972419323175","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55522.47938615099","IRAC1","0.043160133400363503","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55523.847540752024","IRAC1","-0.31391142056042942","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55524.764184362008","IRAC1","0.99955875997111376","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55525.301578928353","IRAC1","0.40371342132900756","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55526.564012323244","IRAC1","-0.79142117147627233","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55527.631098942256","IRAC1","0.96915298455050303","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55528.345446934036","IRAC1","0.31807200495174798","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55529.589826548021","IRAC1","-0.75723237836159207","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55530.074394228635","IRAC1","0.15518123498900246","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55531.278335943753","IRAC1","0.44775419928091764","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55532.088836265364","IRAC1","-0.94357201268918156","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55533.886613590978","IRAC1","0.95934535410624178","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55534.867371704444","IRAC1","-0.69571980978989023","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55535.434901366076","IRAC1","-0.92594861880567059","0.01","1","0",""
"-1500","test_1500","330.62678755815637","-2.5304688263808259","55536.119858893187","IRAC1","0.2484036276218087","0.01","1","0",""
